Name,MIMEType,Extension,Description
aacp,audio/aacp,.aacp,"AAC+ (Advanced Audio Coding Plus) is a compressed audio format defined in MPEG-4 Part 3 (ISO/IEC 14496-3). It is a successor to AAC, and is designed to be more efficient than AAC for low bitrates. It is also known as HE-AAC (High Efficiency AAC).<br /><br />An AAC+ file may contain only the raw AAC+ format, or it may use a multimedia container format such MP4 or QuickTime. AAC+ is often used for the audio component of a video file.<br /><br />Differs from audio/aac and has lower browser compatibility for playback. The Wikipedia link has the most information I could find."
x-authorware-map,application/x-authorware-map,.aam,
x-authorware-seg,application/x-authorware-seg,.aas,
x-abiword,application/x-abiword,.abw.zabw.abw.gz,
vnd.americandynamics.acc,application/vnd.americandynamics.acc,.acc,
x-ace-compressed,application/x-ace-compressed,.ace,
vnd.acucobol,application/vnd.acucobol,.acu,
vnd.acucorp,application/vnd.acucorp,.acutc.atc,
adpcm,audio/adpcm,.adp,
vnd.audiograph,application/vnd.audiograph,.aep,
x-font-type1,application/x-font-type1,.afm.pfa.pfb.pfm,
vnd.ibm.modcap,application/vnd.ibm.modcap,.afp.list3820.listafp,
postscript,application/postscript,.ai.eps.ps,
vnd.adobe.air-application-installer-package+zip,application/vnd.adobe.air-application-installer-package+zip,.air,
vnd.amiga.ami,application/vnd.amiga.ami,.ami,
vnd.android.package-archive,application/vnd.android.package-archive,.apk,"APK is an archive format used for distributing Android apps. It is based on the Jar format (for Java), and like that format, is actually a ZIP archive with a different extension, and with specific files and directories within it.<br /><br />The executable part of the app is usually in either Dalvik Executable (for older Android versions prior to 5.0) or ART format (for newer versions).<br /><br />Metadata about the app is in a META-INF directory within the archive (similarly to Jar files), compiled code is in a lib directory, and resources in a res directory. There are also a few files at the root level including AndroidManifest.xml (which may be regular XML or, often, binary XML)."
x-ms-application,application/x-ms-application,.application,
vnd.lotus-approach,application/vnd.lotus-approach,.apr,
pgp-signature,application/pgp-signature,.asc.sig,"PGP (Pretty Good Privacy) is an encryption program, and its encryption format which eventually became the OpenPGP standard.<br /><br />Created by Phil Zimmerman in 1991, it got into some legal trouble early on because encryption of this grade was classified as a munition under U.S. law and restricted from export. These laws, while not completely repealed even now, have been considerably liberalized since, and now export of PGP and related software is only restricted when it's being exported to countries such as Iran that are under special sanction. Zimmerman's PGP company was eventually acquired by Network Associates (now McAfee), which eventually rebranded the original command-line-based PGP as ""McAfee E-Business Server"" and sold off all other PGP assets to some PGP developers who formed a new PGP company, which was eventually acquired by Symantec. Meanwhile, the specifications of the file format had been released as the OpenPGP spec and published as an RFC document, making it available for use in other products.<br /><br />GNU Privacy Guard (GnuPG, GPG) is a commonly-used encryption tool using PGP format, running on Linux systems.<br /><br />PGP uses a combination of several encryption techniques applied serially, including symmetric-key and public-key cryptography."
x-ms-asf,video/x-ms-asf,.asf.asx,
x-asm,text/x-asm,.asm.s,
vnd.accpac.simply.aso,application/vnd.accpac.simply.aso,.aso,
atom+xml,application/atom+xml,.atom,
atomcat+xml,application/atomcat+xml,.atomcat,
atomsvc+xml,application/atomsvc+xml,.atomsvc,
vnd.antix.game-component,application/vnd.antix.game-component,.atx,
basic,audio/basic,.au.snd,
x-msvideo,video/x-msvideo,.avi,
applixware,application/applixware,.aw,
vnd.airzip.filesecure.azf,application/vnd.airzip.filesecure.azf,.azf,
vnd.airzip.filesecure.azs,application/vnd.airzip.filesecure.azs,.azs,
vnd.amazon.ebook,application/vnd.amazon.ebook,.azw,
x-msdownload,application/x-msdownload,.bat.com.dll.exe.msi,
x-bcpio,application/x-bcpio,.bcpio,
x-font-bdf,application/x-font-bdf,.bdf,
vnd.syncml.dm+wbxml,application/vnd.syncml.dm+wbxml,.bdm,
vnd.fujitsu.oasysprs,application/vnd.fujitsu.oasysprs,.bh2,
vnd.bmi,application/vnd.bmi,.bmi,
bmp,image/bmp,.bmp,
vnd.framemaker,application/vnd.framemaker,.book.fm.frame.maker,
vnd.previewsystems.box,application/vnd.previewsystems.box,.box,
x-bzip2,application/x-bzip2,.boz.bz2,BZip2 archive,
prs.btif,image/prs.btif,.btif,
x-bzip,application/x-bzip,.bz,BZip archive,
x-c,text/x-c,.c.cc.cpp.cxx.dic.h.hh,
vnd.clonk.c4group,application/vnd.clonk.c4group,.c4d.c4f.c4g.c4p.c4u,
vnd.ms-cab-compressed,application/vnd.ms-cab-compressed,.cab,
vnd.curl.car,application/vnd.curl.car,.car,
vnd.ms-pki.seccat,application/vnd.ms-pki.seccat,.cat,
x-director,application/x-director,.cct.cst.cxt.dcr.dir.dxr.fgd.swa.w3d,
ccxml+xml,application/ccxml+xml,.ccxml,
vnd.contact.cmsg,application/vnd.contact.cmsg,.cdbcmsg,
x-netcdf,application/x-netcdf,.cdf.nc,
vnd.mediastation.cdkey,application/vnd.mediastation.cdkey,.cdkey,
x-cdx,chemical/x-cdx,.cdx,
vnd.chemdraw+xml,application/vnd.chemdraw+xml,.cdxml,
vnd.cinderella,application/vnd.cinderella,.cdy,
pkix-cert,application/pkix-cert,.cer,
cgm,image/cgm,.cgm,
x-chat,application/x-chat,.chat,
vnd.ms-htmlhelp,application/vnd.ms-htmlhelp,.chm,
vnd.kde.kchart,application/vnd.kde.kchart,.chrt,
x-cif,chemical/x-cif,.cif,
vnd.anser-web-certificate-issue-initiation,application/vnd.anser-web-certificate-issue-initiation,.cii,
vnd.ms-artgalry,application/vnd.ms-artgalry,.cil,
vnd.claymore,application/vnd.claymore,.cla,
java-vm,application/java-vm,.class,
vnd.crick.clicker.keyboard,application/vnd.crick.clicker.keyboard,.clkk,
vnd.crick.clicker.palette,application/vnd.crick.clicker.palette,.clkp,
vnd.crick.clicker.template,application/vnd.crick.clicker.template,.clkt,
vnd.crick.clicker.wordbank,application/vnd.crick.clicker.wordbank,.clkw,
vnd.crick.clicker,application/vnd.crick.clicker,.clkx,
x-msclip,application/x-msclip,.clp,
vnd.cosmocaller,application/vnd.cosmocaller,.cmc,
x-cmdf,chemical/x-cmdf,.cmdf,
x-cml,chemical/x-cml,.cml,
vnd.yellowriver-custom-menu,application/vnd.yellowriver-custom-menu,.cmp,
x-cmx,image/x-cmx,.cmx,
vnd.rim.cod,application/vnd.rim.cod,.cod,
plain,text/plain,.conf.def.diff.in.ksh.list.log.pl.text.txt,
vnd.debian.binary-package,application/vnd.debian.binary-package,.deb.udeb,"deb (Debian package) is a file format used for software distribution in the Debian Linux platform. It is actually an AR archive, with content that includes some tar files. <br /><br />The ""udeb"" files are in the same basic format as ""deb"", but are considered ""micro deb"", used for smaller packages with only the most essential files."
markdown,text/markdown,.md.markdown.mdown.markdn,"Markdown is a lightweight and human readable markup format for text formatting created by John Gruber and Aaron Swartz. It is similar to various forms of wiki markup. There is no formal specification for the original Markdown, and it has ambiguities that are handled inconsistently by different implementations.<br /><br />An attempt to improve on this situation was done (released 2014-09) by a group unrelated to the originators of Markdown, and was originally dubbed Standard Markdown until John Gruber objected to this name, and it was first renamed ""Common Markdown"" and later CommonMark. Markdeep is an extended Markdown implemented in JavaScript for web use."
wasm,application/wasm,.wasm,A WASM binary allowed to be used with WebAssembly.instantiateStreaming.
x-cpio,application/x-cpio,.cpio,
mac-compactpro,application/mac-compactpro,.cpt,
x-mscardfile,application/x-mscardfile,.crd,
pkix-crl,application/pkix-crl,.crl,
x-x509-ca-cert,application/x-x509-ca-cert,.crt.der,
x-csh,application/x-csh,.csh,
x-csml,chemical/x-csml,.csml,
vnd.commonspace,application/vnd.commonspace,.csp,
css,text/css,.css,Cascading Style Sheets (CSS),
csv,text/csv,.csv,"CSV (Comma Separated Values) is a text-based format typically used for the storage or exchange of database-like records. In Microsoft Windows systems, it will commonly open in Excel, but it is not a proprietary format and can be used in many other programs."
cu-seeme,application/cu-seeme,.cu,
vnd.curl,text/vnd.curl,.curl,
prs.cww,application/prs.cww,.cww,
vnd.mobius.daf,application/vnd.mobius.daf,.daf,
vnd.fdsn.seed,application/vnd.fdsn.seed,.dataless.seed,
davmount+xml,application/davmount+xml,.davmount,
vnd.curl.dcurl,text/vnd.curl.dcurl,.dcurl,
vnd.oma.dd2+xml,application/vnd.oma.dd2+xml,.dd2,
vnd.fujixerox.ddd,application/vnd.fujixerox.ddd,.ddd,
x-debian-package,application/x-debian-package,.deb.udeb,
vnd.dreamfactory,application/vnd.dreamfactory,.dfac,
vnd.mobius.dis,application/vnd.mobius.dis,.dis,
vnd.djvu,image/vnd.djvu,.djv.djvu,
vnd.dna,application/vnd.dna,.dna,
msword,application/msword,.doc.dot.wiz,"Microsoft Word is a popular word processor program which has existed in a number of versions for DOS, Windows, and the Macintosh. It is often distributed as part of the Microsoft Office suite. Various native file formats have been used, and some other non-Word-specific formats can also be opened and saved.<br /><br />Please note the more modern .docx file extension does not use this mime type."
vnd.ms-word.document.macroenabled.12,application/vnd.ms-word.document.macroenabled.12,.docm,
vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx,
vnd.ms-word.template.macroenabled.12,application/vnd.ms-word.template.macroenabled.12,.dotm,
vnd.openxmlformats-officedocument.wordprocessingml.template,application/vnd.openxmlformats-officedocument.wordprocessingml.template,.dotx,
vnd.osgi.dp,application/vnd.osgi.dp,.dp,
vnd.dpgraph,application/vnd.dpgraph,.dpg,
prs.lines.tag,text/prs.lines.tag,.dsc,
x-dtbook+xml,application/x-dtbook+xml,.dtb,
xml-dtd,application/xml-dtd,.dtd,
vnd.dts,audio/vnd.dts,.dts,
vnd.dts.hd,audio/vnd.dts.hd,.dtshd,
x-dvi,application/x-dvi,.dvi,
vnd.dwf,model/vnd.dwf,.dwf,
vnd.dwg,image/vnd.dwg,.dwg,
vnd.dxf,image/vnd.dxf,.dxf,
vnd.spotfire.dxp,application/vnd.spotfire.dxp,.dxp,
vnd.nuera.ecelp4800,audio/vnd.nuera.ecelp4800,.ecelp4800,
vnd.nuera.ecelp7470,audio/vnd.nuera.ecelp7470,.ecelp7470,
vnd.nuera.ecelp9600,audio/vnd.nuera.ecelp9600,.ecelp9600,
ecmascript,application/ecmascript,.ecma,
vnd.novadigm.edm,application/vnd.novadigm.edm,.edm,
vnd.novadigm.edx,application/vnd.novadigm.edx,.edx,
vnd.picsel,application/vnd.picsel,.efif,
vnd.pg.osasli,application/vnd.pg.osasli,.ei6,
rfc822,message/rfc822,.eml.mht.mhtml.mime.nws,"A Content-Type of ""message/rfc822"" indicates that the body contains an encapsulated message, with the syntax of an RFC 822 message."
emma+xml,application/emma+xml,.emma,
vnd.digital-winds,audio/vnd.digital-winds,.eol,
vnd.ms-fontobject,application/vnd.ms-fontobject,.eot,
epub+zip,application/epub+zip,.epub,
vnd.eszigno3+xml,application/vnd.eszigno3+xml,.es3.et3,
vnd.epson.esf,application/vnd.epson.esf,.esf,
x-setext,text/x-setext,.etx,
vnd.novadigm.ext,application/vnd.novadigm.ext,.ext,
andrew-inset,application/andrew-inset,.ez,"Published specification:  ""Multimedia Applications Development with the Andrew Toolkit"", by Nathaniel S. Borenstein, Prentice Hall, 1990. <br /><br />Editors note: I looked him up, he works at Mimecast now. Reach out!"
vnd.ezpix-album,application/vnd.ezpix-album,.ez2,
vnd.ezpix-package,application/vnd.ezpix-package,.ez3,
x-fortran,text/x-fortran,.f.f77.f90.for,
x-f4v,video/x-f4v,.f4v,
vnd.fastbidsheet,image/vnd.fastbidsheet,.fbs,
vnd.fdf,application/vnd.fdf,.fdf,
vnd.denovo.fcselayout-link,application/vnd.denovo.fcselayout-link,.fe_launch,
vnd.fujitsu.oasysgp,application/vnd.fujitsu.oasysgp,.fg5,
x-freehand,image/x-freehand,.fh.fh4.fh5.fh7.fhc,
x-xfig,application/x-xfig,.fig,
x-fli,video/x-fli,.fli,
vnd.micrografx.flo,application/vnd.micrografx.flo,.flo,
x-flv,video/x-flv,.flv,
vnd.kde.kivio,application/vnd.kde.kivio,.flw,
vnd.fmi.flexstor,text/vnd.fmi.flexstor,.flx,
vnd.fly,text/vnd.fly,.fly,
vnd.frogans.fnc,application/vnd.frogans.fnc,.fnc,
vnd.fpx,image/vnd.fpx,.fpx,
vnd.fsc.weblaunch,application/vnd.fsc.weblaunch,.fsc,
vnd.fst,image/vnd.fst,.fst,
vnd.fluxtime.clip,application/vnd.fluxtime.clip,.ftc,
vnd.anser-web-funds-transfer-initiation,application/vnd.anser-web-funds-transfer-initiation,.fti,
vnd.fvt,video/vnd.fvt,.fvt,
vnd.fuzzysheet,application/vnd.fuzzysheet,.fzs,
g3fax,image/g3fax,.g3,
vnd.groove-account,application/vnd.groove-account,.gac,
vnd.gdl,model/vnd.gdl,.gdl,
vnd.dynageo,application/vnd.dynageo,.geo,
vnd.geometry-explorer,application/vnd.geometry-explorer,.gex.gre,
vnd.geogebra.file,application/vnd.geogebra.file,.ggb,
vnd.geogebra.tool,application/vnd.geogebra.tool,.ggt,
vnd.groove-help,application/vnd.groove-help,.ghf,
gif,image/gif,.gif,"Graphics Interchange Format (GIF) was introduced by the CompuServe online service in 1987, intended to provide a consistent and compact format for graphics to be downloaded on that service. Since the specifications were openly released, the format gained wide use in graphics software and on online services and bulletin board systems (BBSs), not just CompuServe; later it became a major Web graphic format. GIF's ability to have animation (unlike most still graphic formats) has caused it to gain some Internet notoriety and use in conjunction with ""memes""."
vnd.groove-identity-message,application/vnd.groove-identity-message,.gim,
vnd.gmx,application/vnd.gmx,.gmx,
x-gnumeric,application/x-gnumeric,.gnumeric,
vnd.flographit,application/vnd.flographit,.gph,
vnd.grafeq,application/vnd.grafeq,.gqf.gqs,
srgs,application/srgs,.gram,
vnd.groove-injector,application/vnd.groove-injector,.grv,
srgs+xml,application/srgs+xml,.grxml,
x-font-ghostscript,application/x-font-ghostscript,.gsf,
x-gtar,application/x-gtar,.gtar,
vnd.groove-tool-message,application/vnd.groove-tool-message,.gtm,
vnd.gtw,model/vnd.gtw,.gtw,
vnd.graphviz,text/vnd.graphviz,.gv,
x-gzip,application/x-gzip,.gz.tgz,
gzip,application/gzip,.gz.tgz,
h261,video/h261,.h261,
,gcode,.gcode,"GCODE files are created by slicing programs, such as Simplify3D and Slic3r, that translate CAD drawings into G-Code, which a 3D printer can read.<br /><br />There's no official mimetype assigned as far as the author is aware, however these are the ones commonly reported."
h263,video/h263,.h263,
h264,video/h264,.h264,"Advanced Video Coding (AVC), also referred to as H.264 or MPEG-4 Part 10, Advanced Video Coding (MPEG-4 AVC), is a video compression standard based on block-oriented, motion-compensated integer-DCT coding.[1] It is by far the most commonly used format for the recording, compression, and distribution of video content, used by 91% of video industry developers as of September 2019.<br /><br />It supports resolutions up to and including 8K UHD.<br /><br />H.264 is controversial for being patent-encumbered, and hence subject to royalty requirements. In 2013, Cisco is attempting to partially remedy this by producing a freely distributed executable H.264 codec for many platforms for which they have paid the royalty, allowing anybody to download and use it in unmodified form royalty-free. The source code is also openly available, but any altered versions that anybody might create from it would require separate licensing, as would any distribution of the executables other than direct download from Cisco. Thus, the only way to use it as part of a product without additional license fees is to have the product's installer download the executable from Cisco during the install process, rather than including it directly in your own product (whether on disk or downloadable from your site).<br /><br />HEVC (H.265) has been developed as a more efficient successor to this format, but it is also patent-encumbered. Attempts to create a royalty-free alternative include AV1, Daala, VP9, and Thor.<br /><br />The H.264 specification does not, in an extremely strict sense, define a codec which fits into a series of bytes; instead, it describes the stream as fitting into a sequence of frames called ""network abstraction layer units"", which can then be delineated into a raw byte format by the user. The format for putting these into a raw bytestream described by Annex B of the specification apparently is apparently very widely-used."
vnd.hbci,application/vnd.hbci,.hbci,
vnd.gerber,application/vnd.gerber,.gbr,The Gerber file format is the de facto standard for printed circuit board (PCB) image data transfer. Gerber files consist of 7bit ASCII text and do not contain any active or executable content. <br /><br />The format does include an optional integrity check: A checksum of the file's content can be specified using the MD5 File Attribute. Any additional integrity protection or privacy protection must be supplied externally.
x-hdf,application/x-hdf,.hdf,
winhlp,application/winhlp,.hlp,
vnd.hp-hpgl,application/vnd.hp-hpgl,.hpgl,
vnd.hp-hpid,application/vnd.hp-hpid,.hpid,
vnd.hp-hps,application/vnd.hp-hps,.hps,
mac-binhex40,application/mac-binhex40,.hqx,
vnd.kenameaapp,application/vnd.kenameaapp,.htke,
html,text/html,.htm.html,
vnd.yamaha.hv-dic,application/vnd.yamaha.hv-dic,.hvd,
vnd.yamaha.hv-voice,application/vnd.yamaha.hv-voice,.hvp,
vnd.yamaha.hv-script,application/vnd.yamaha.hv-script,.hvs,
vnd.iccprofile,application/vnd.iccprofile,.icc.icm,
x-cooltalk,x-conference/x-cooltalk,.ice,
x-icon,image/x-icon,.ico,
calendar,text/calendar,.ics.ifb,
ief,image/ief,.ief,
vnd.shana.informed.formdata,application/vnd.shana.informed.formdata,.ifm,
iges,model/iges,.iges.igs,
vnd.igloader,application/vnd.igloader,.igl,
vnd.micrografx.igx,application/vnd.micrografx.igx,.igx,
vnd.shana.informed.interchange,application/vnd.shana.informed.interchange,.iif,
vnd.accpac.simply.imp,application/vnd.accpac.simply.imp,.imp,
vnd.ms-ims,application/vnd.ms-ims,.ims,
vnd.shana.informed.package,application/vnd.shana.informed.package,.ipk,
vnd.ibm.rights-management,application/vnd.ibm.rights-management,.irm,
vnd.irepository.package+xml,application/vnd.irepository.package+xml,.irp,
vnd.shana.informed.formtemplate,application/vnd.shana.informed.formtemplate,.itp,
vnd.immervision-ivp,application/vnd.immervision-ivp,.ivp,
vnd.immervision-ivu,application/vnd.immervision-ivu,.ivu,
vnd.sun.j2me.app-descriptor,text/vnd.sun.j2me.app-descriptor,.jad,
vnd.jam,application/vnd.jam,.jam,
java-archive,application/java-archive,.jar,Java Archive (JAR),
x-java-source,text/x-java-source,.java,
vnd.jisp,application/vnd.jisp,.jisp,
vnd.hp-jlyt,application/vnd.hp-jlyt,.jlt,
x-java-jnlp-file,application/x-java-jnlp-file,.jnlp,
vnd.joost.joda-archive,application/vnd.joost.joda-archive,.joda,
jpeg,image/jpeg,.jpe.jpeg.jpg.pjpg.jfif.jfif-tbnl.jif,"JPEG is a popular raster image format well-suited to photographic images. It usually uses lossy DCT compression. It is named after the Joint Photographic Experts Group, the organization which developed the format. It is sometimes called JPEG1, JPEG-1, or JPEG 1992 to help disambiguate it."
pjpeg,image/pjpeg,.jpe.jpeg.jpg.pjpg.jfi.jfif.jfif-tbnl.jif,PJPEG files refer to images wherein the Progressive JPEG format (hence JPEG) is used for bitmap images.
jpm,video/jpm,.jpgm.jpm,
jpeg,video/jpeg,.jpgv,
x-trash,application/x-trash,,Why even drag this in?
x-shellscript,application/x-shellscript,.sh,Why even drag this in?
javascript,text/javascript,.js,"JavaScript (sometimes abbreviated JS) is a scripting language commonly implemented as part of a web browser in order to create enhanced user interfaces and dynamic websites, but also used in other contexts (such as server-side JavaScript).<br /><br />This is not the same as <a href=""/text/x-java-source"">Java</a>. People constantly get confused about that.<br /><br />JavaScript was originally developed at Netscape by Brendan Eich (who later became Mozilla CEO... very briefly), where it was originally called LiveScript while under development, but became JavaScript (with the name licensed from Sun) in order to capitalize on the popularity of Java, though the languages aren't really related (although there are some similarities in syntax). Later, a Microsoft implementation designed to be (more or less) compatible was called JScript, and an attempt at a formally standardized version of the language was published by ECMA as ECMAScript.<br /><br />The node.js runtime environment is (mostly) implemented in JavaScript, as are applications running within it.<br /><br />Due to its status as the only scripting language for browsers, JavaScript skyrocketed in popularity in the 2000's and 2010's and as of 2017 serves as a lingua franca of Web development. Arguably, it is currently the world's most popular programming language (it tops GitHub and StackOverflow currently)."
json,application/json,.json,"JSON (JavaScript Object Notation) is widely used by web applications, mobile apps, and other programs to communicate between different systems (such as between a client and server). While it is named after JavaScript, there are libraries for many other programming and scripting languages to let them use this format as well. The geospatial format GeoJSON is based on JSON, as is the remote-procedure-call protocol JSON-RPC and the JSON-LD linked-data format. The IBM standard of JSONx is an XML implementation of JSON. I-JSON is a restricted profile of JSON for Internet use. JSON Web Tokens, JSON Web Encryption, and JSON Web Signatures are JSON-based formats for security-related functions."
midi,audio/midi,.kar.mid.midi.rmi,
aiff,audio/aiff,.aiff.aif.aff,"AIFF (Audio Interchange File Format) files store uncompressed signed audio samples inside an IFF container. There's also a compressed variant, called AIFC with the same mimetype.<br /><br />AIFF chunks provide native metadata. In addition, although it is not in the specification, an ID3 chunk is often used to include ID3V2 metadata.<br /><br />It is difficult to trace down official mention of an official mimetype declaration, however you should follow existing guidance which is to assign with audio/aiff and support reading from audio/x-aiff also."
opus,audio/opus,.opus,Opus audio
vnd.kde.karbon,application/vnd.kde.karbon,.karbon,
vnd.kde.kformula,application/vnd.kde.kformula,.kfo,
vnd.kidspiration,application/vnd.kidspiration,.kia,
x-killustrator,application/x-killustrator,.kil,
vnd.google-earth.kml+xml,application/vnd.google-earth.kml+xml,.kml,
vnd.google-earth.kmz,application/vnd.google-earth.kmz,.kmz,
vnd.kinar,application/vnd.kinar,.kne.knp,
vnd.kde.kontour,application/vnd.kde.kontour,.kon,
vnd.kde.kpresenter,application/vnd.kde.kpresenter,.kpr.kpt,
vnd.kde.kspread,application/vnd.kde.kspread,.ksp,
vnd.kahootz,application/vnd.kahootz,.ktr.ktz,
vnd.kde.kword,application/vnd.kde.kword,.kwd.kwt,
x-latex,application/x-latex,.latex,
vnd.llamagraphics.life-balance.desktop,application/vnd.llamagraphics.life-balance.desktop,.lbd,
vnd.llamagraphics.life-balance.exchange+xml,application/vnd.llamagraphics.life-balance.exchange+xml,.lbe,
vnd.hhe.lesson-player,application/vnd.hhe.lesson-player,.les,
vnd.route66.link66+xml,application/vnd.route66.link66+xml,.link66,
lost+xml,application/lost+xml,.lostxml,
vnd.ms-lrm,application/vnd.ms-lrm,.lrm,
vnd.frogans.ltf,application/vnd.frogans.ltf,.ltf,
vnd.lucent.voice,audio/vnd.lucent.voice,.lvp,
vnd.lotus-wordpro,application/vnd.lotus-wordpro,.lwp,
x-msmediaview,application/x-msmediaview,.m13.m14.mvb,
mpeg,video/mpeg,.m1v.m2v.mpa.mpe.mpeg.mpg,
mpeg,audio/mpeg,.m2a.m3a.mp2.mp2a.mp3.mpga,"MP3 is the name commonly given to the audio formats specified by MPEG-1 Layer III and MPEG-2 Layer III, standardized as ISO/IEC 11172-3:1993, with some additions in ISO/IEC 13818-3:1995. It uses lossy compressed data.<br /><br />MP3 is based in part on work by the Fraunhofer Institute, which held patents in the format. Other companies may also have held patents encumbering its implementation. One of the relevant patents was <a href=""http://www.google.com/patents/US5812672"" target=""_blank"">U.S. Patent 5,812,672</a>, which expired in September 2015; many other related patents in various countries expired earlier. The final expiration of all relevant patents took until 2017, however, due to some ""submarine patents"" which were kept in the application process for years, extending their expiration dates. A modified version of DCT compression (Discrete cosine transform) is used, a lossy compression method also used in <a href=""/image/jpeg"">JPEG images</a>.<br /><br />ID3 tags are often used to provide metadata in MP3 files, though they aren't part of the MP3 specification."
x-mpegurl,audio/x-mpegurl,.m3u,
vnd.mpegurl,video/vnd.mpegurl,.m4u.mxu,
x-m4v,video/x-m4v,.m4v,
mathematica,application/mathematica,.ma.mb.nb,
vnd.ecowin.chart,application/vnd.ecowin.chart,.mag,
troff,text/troff,.man.me.ms.roff.t.tr,
mathml+xml,application/mathml+xml,.mathml.mml,
mathml,text/mathml,.mathml.mml,
vnd.sqlite3,application/vnd.sqlite3,.db.sqlite.sqlite3.db-wal.sqlite-wal.db-shm.sqlite-shm,"SQLite is a self-contained, serverless, zero-configuration, transactional SQL database engine. The code for SQLite is in the public domain and is thus free for use for any purpose, commercial or private."
x-sqlite3,application/x-sqlite3,.db.sqlite.sqlite3.db-wal.sqlite-wal.db-shm.sqlite-shm,"SQLite is a self-contained, serverless, zero-configuration, transactional SQL database engine. The code for SQLite is in the public domain and is thus free for use for any purpose, commercial or private."
vnd.mobius.mbk,application/vnd.mobius.mbk,.mbk,
mbox,application/mbox,.mbox,
vnd.medcalcdata,application/vnd.medcalcdata,.mc1,
vnd.mcd,application/vnd.mcd,.mcd,
vnd.curl.mcurl,text/vnd.curl.mcurl,.mcurl,
x-msaccess,application/x-msaccess,.mdb,
vnd.ms-modi,image/vnd.ms-modi,.mdi,
mesh,model/mesh,.mesh.msh.silo,
vnd.mfmp,application/vnd.mfmp,.mfm,
vnd.proteus.magazine,application/vnd.proteus.magazine,.mgz,
vnd.mif,application/vnd.mif,.mif,
mj2,video/mj2,.mj2.mjp2,
vnd.dolby.mlp,application/vnd.dolby.mlp,.mlp,
vnd.chipnuts.karaoke-mmd,application/vnd.chipnuts.karaoke-mmd,.mmd,
vnd.smaf,application/vnd.smaf,.mmf,
